Hour,DC,Bids,Impressions,Spent
2020-01-01 6:00:00,EU,3757709,828710,375448
2020-01-01 6:00:00,US,3232546,597172,720578
2020-01-01 7:00:00,EU,4246966,957297,404218
2020-01-01 7:00:00,US,3112665,506980,564765
2020-01-01 8:00:00,EU,4768835,1040946,452959
2020-01-01 8:00:00,US,2941875,428187,471792
2020-01-01 9:00:00,EU,5299263,953841,498368
2020-01-01 9:00:00,US,2931772,384234,403600
2020-01-01 10:00:00,EU,5287167,1014268,536553
2020-01-01 10:00:00,US,3100416,349630,338939
2020-01-01 11:00:00,EU,5149632,1011401,536225
2020-01-01 11:00:00,US,2937302,336230,322686
2020-01-01 12:00:00,EU,5069328,992254,517340
2020-01-01 12:00:00,US,3178357,391913,395624
2020-01-01 13:00:00,EU,5054587,940254,521900
2020-01-01 13:00:00,US,3527680,497582,540730
2020-01-01 14:00:00,EU,4923819,930388,504251
2020-01-01 14:00:00,US,3759033,585694,682544
2020-01-01 15:00:00,EU,4583429,821711,438694
2020-01-01 15:00:00,US,3862216,637038,762807
2020-01-01 16:00:00,EU,4496492,798828,431048
2020-01-01 16:00:00,US,3688446,646235,834719
2020-01-01 17:00:00,EU,4104213,732816,401267
2020-01-01 17:00:00,US,3504330,632893,846788
2020-01-01 18:00:00,EU,3916720,742139,396929
2020-01-01 18:00:00,US,3517241,659367,965115
2020-01-01 19:00:00,EU,3590337,715703,395124
2020-01-01 19:00:00,US,3475120,688925,1027277
2020-01-01 20:00:00,EU,3418208,712303,375158
2020-01-01 20:00:00,US,3514987,691079,983103
2020-01-01 21:00:00,EU,3315292,730814,346056
2020-01-01 21:00:00,US,3446657,674580,1021337
2020-01-01 22:00:00,EU,2965783,762214,327905
2020-01-01 22:00:00,US,3272664,681292,930157
2020-01-01 23:00:00,EU,2552732,652023,276510
2020-01-01 23:00:00,US,3187221,677260,899717
2020-01-02 0:00:00,EU,2816839,728534,375349
2020-01-02 0:00:00,US,3400778,802939,1247721
2020-01-02 1:00:00,EU,2982709,771452,332695
2020-01-02 1:00:00,US,3490213,793887,1110999
2020-01-02 2:00:00,EU,2982885,710487,307347
2020-01-02 2:00:00,US,3445550,775617,1063219
2020-01-02 3:00:00,EU,2872256,658635,280373
2020-01-02 3:00:00,US,3205345,742178,1001862
2020-01-02 4:00:00,EU,3183143,740824,284546
2020-01-02 4:00:00,US,3148091,738878,952068
2020-01-02 5:00:00,EU,3542865,841170,326260
2020-01-02 5:00:00,US,3342351,744418,969670
2020-01-02 6:00:00,EU,4067686,971912,394368
2020-01-02 6:00:00,US,3250670,605754,706649
2020-01-02 7:00:00,EU,4432568,1057550,450686
2020-01-02 7:00:00,US,2933812,473474,532250
2020-01-02 8:00:00,EU,5042191,1146115,519962
2020-01-02 8:00:00,US,2879592,419714,432203
2020-01-02 9:00:00,EU,5267762,1104800,553673
2020-01-02 9:00:00,US,2999312,400192,416986
2020-01-02 10:00:00,EU,5326110,988963,521134
2020-01-02 10:00:00,US,3238760,413281,381931
2020-01-02 11:00:00,EU,5372659,1012258,544025
2020-01-02 11:00:00,US,3468820,477300,424765
2020-01-02 12:00:00,EU,5292138,905186,492540
2020-01-02 12:00:00,US,3570731,479117,505229
2020-01-02 13:00:00,EU,5049570,881164,450092
2020-01-02 13:00:00,US,3888687,566187,637314
2020-01-02 14:00:00,EU,4969095,904630,443874
2020-01-02 14:00:00,US,3686286,595567,679979
2020-01-02 15:00:00,EU,4760262,835744,406561
2020-01-02 15:00:00,US,3782596,629989,710342
2020-01-02 16:00:00,EU,4663202,805596,398977
2020-01-02 16:00:00,US,3788317,644486,718807
2020-01-02 17:00:00,EU,4338624,767572,370861
2020-01-02 17:00:00,US,3828086,693275,808252
2020-01-02 18:00:00,EU,4161658,759620,376294
2020-01-02 18:00:00,US,3715077,681421,813223
2020-01-02 19:00:00,EU,3853848,734682,397427
2020-01-02 19:00:00,US,3588392,678444,871845
2020-01-02 20:00:00,EU,3150438,640075,364418
2020-01-02 20:00:00,US,3588003,689494,993161
2020-01-02 21:00:00,EU,2487123,520270,279472
2020-01-02 21:00:00,US,3474038,693840,997676
2020-01-02 22:00:00,EU,2926562,764725,312794
2020-01-02 22:00:00,US,3386217,697005,996476
2020-01-02 23:00:00,EU,2685905,682653,271411
2020-01-02 23:00:00,US,3280644,729367,1291020
2020-01-03 0:00:00,EU,3164800,852201,366763
2020-01-03 0:00:00,US,3659236,829836,1429502
2020-01-03 1:00:00,EU,3275407,825634,333896
2020-01-03 1:00:00,US,3676416,897576,1402377
2020-01-03 2:00:00,EU,3344108,789336,311933
2020-01-03 2:00:00,US,3423744,775010,1144242
2020-01-03 3:00:00,EU,3327746,759380,302888
2020-01-03 3:00:00,US,3252163,735865,941408
2020-01-03 4:00:00,EU,3377119,777619,307794
2020-01-03 4:00:00,US,3171667,723702,882912
2020-01-03 5:00:00,EU,3704837,893216,319557
2020-01-03 5:00:00,US,3397928,737099,824741
2020-01-03 6:00:00,EU,3985754,974205,399595
2020-01-03 6:00:00,US,3218607,647639,636246
2020-01-03 7:00:00,EU,4542813,1080366,482885
2020-01-03 7:00:00,US,2987592,544761,523513
2020-01-03 8:00:00,EU,4966951,1232867,514390
2020-01-03 8:00:00,US,3233274,496775,409256
2020-01-03 9:00:00,EU,5171186,1230841,565520
2020-01-03 9:00:00,US,3153571,450064,356380
2020-01-03 10:00:00,EU,5258489,1180819,566166
2020-01-03 10:00:00,US,3354678,442960,341545
2020-01-03 11:00:00,EU,5446660,1179535,584449
2020-01-03 11:00:00,US,3705001,485092,399753
2020-01-03 12:00:00,EU,5712323,1141657,542224
2020-01-03 12:00:00,US,3904971,540767,480092
2020-01-03 13:00:00,EU,5568224,1108076,519570
2020-01-03 13:00:00,US,4105637,581557,548452
2020-01-03 14:00:00,EU,5257334,996388,484382
2020-01-03 14:00:00,US,3947166,601981,651119
2020-01-03 15:00:00,EU,4841369,926036,448467
2020-01-03 15:00:00,US,3734373,595319,686265
2020-01-03 16:00:00,EU,4655328,854300,438309
2020-01-03 16:00:00,US,4017972,654679,704977
2020-01-03 17:00:00,EU,4569349,873589,465274
2020-01-03 17:00:00,US,3697462,665088,748048
2020-01-03 18:00:00,EU,4008168,825070,422941
2020-01-03 18:00:00,US,3701225,666575,735313
2020-01-03 19:00:00,EU,3788083,816149,436613
2020-01-03 19:00:00,US,3773624,678098,814161
2020-01-03 20:00:00,EU,3662339,833524,448359
2020-01-03 20:00:00,US,3809305,698186,857562
2020-01-03 21:00:00,EU,3706977,868450,415860
2020-01-03 21:00:00,US,3709956,697181,841722
2020-01-03 22:00:00,EU,3199332,837709,379314
2020-01-03 22:00:00,US,3318066,683453,801093
2020-01-03 23:00:00,EU,2827098,711271,299776
2020-01-03 23:00:00,US,3325682,670498,817106
2020-01-04 0:00:00,EU,3265415,880238,398453
2020-01-04 0:00:00,US,3631145,815830,1040398
2020-01-04 1:00:00,EU,3487716,912027,381737
2020-01-04 1:00:00,US,3752319,841960,1034994
2020-01-04 2:00:00,EU,3649840,953048,350566
2020-01-04 2:00:00,US,3742282,819252,937089
2020-01-04 3:00:00,EU,3621204,926524,338461
2020-01-04 3:00:00,US,3527718,784960,955243
2020-01-04 4:00:00,EU,3581335,862972,327640
2020-01-04 4:00:00,US,3230964,734732,856616
2020-01-04 5:00:00,EU,4071499,963740,371182
2020-01-04 5:00:00,US,3383177,761564,868506
2020-01-04 6:00:00,EU,4587819,1096343,427063
2020-01-04 6:00:00,US,3255682,662242,694508
2020-01-04 7:00:00,EU,4934785,1155579,480307
2020-01-04 7:00:00,US,3032362,541987,521259
2020-01-04 8:00:00,EU,5458875,1304444,546311
2020-01-04 8:00:00,US,2999582,489372,450332
2020-01-04 9:00:00,EU,5514799,1279288,584229
2020-01-04 9:00:00,US,2940912,453297,381728
2020-01-04 10:00:00,EU,5801378,1255628,579963
2020-01-04 10:00:00,US,3204015,466707,348956
2020-01-04 11:00:00,EU,5801116,1185409,585078
2020-01-04 11:00:00,US,3350984,510441,366847
2020-01-04 12:00:00,EU,5679012,1070659,540374
2020-01-04 12:00:00,US,3447751,553154,454480
2020-01-04 13:00:00,EU,5343721,1007001,453497
2020-01-04 13:00:00,US,3732444,611071,490873
2020-01-04 14:00:00,EU,5200970,952762,436109
2020-01-04 14:00:00,US,3732705,654461,596232
2020-01-04 15:00:00,EU,4985696,891102,396519
2020-01-04 15:00:00,US,3619378,669462,632273
2020-01-04 16:00:00,EU,4306051,798315,371410
2020-01-04 16:00:00,US,3668288,691831,682135
